Series Name	Series Code	Country Name	Country Code	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	United Kingdom	GBR	25.856	25.607	25.358	23.9822	22.6064	21.2306	19.8548	18.479	17.4572	16.4354	15.4136	14.3918	13.37	12.641
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	United States	USA	40.8214	40.2012	39.581	37.2522	34.9234	32.5946	30.2658	27.937	26.3216	24.7062	23.0908	21.4754	19.86	18.5562
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	Russian Federation	RUS	28.831	29.237	29.643	28.9984	28.3538	27.7092	27.0646	26.42	25.2758	24.1316	22.9874	21.8432	20.699	19.6196
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	Netherlands	NLD	6.0308	5.6624	5.294	5.1248	4.9556	4.7864	4.6172	4.448	4.316	4.184	4.052	3.92	3.788	3.7028
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	Italy	ITA	7.0302	7.0146	6.999	6.778	6.557	6.336	6.115	5.894	5.7632	5.6324	5.5016	5.3708	5.24	5.11
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	Japan	JPN	5.332	5.223	5.114	4.987	4.86	4.733	4.606	4.479	4.3392	4.1994	4.0596	3.9198	3.78	3.6644
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	Hungary	HUN	20.1336	19.8388	19.544	19.6982	19.8524	20.0066	20.1608	20.315	21.0478	21.7806	22.5134	23.2462	23.979	24.2756
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	Germany	DEU	10.8106	10.2908	9.771	9.4294	9.0878	8.7462	8.4046	8.063	8.0694	8.0758	8.0822	8.0886	8.095	7.8568
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	France	FRA	7.5196	7.3838	7.248	7.128	7.008	6.888	6.768	6.648	6.2638	5.8796	5.4954	5.1112	4.727	4.7362
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	Finland	FIN	9.775	9.503	9.231	8.8694	8.5078	8.1462	7.7846	7.423	7.101	6.779	6.457	6.135	5.813	5.6588
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	Denmark	DNK	6.1686	6.0188	5.869	5.5824	5.2958	5.0092	4.7226	4.436	4.3734	4.3108	4.2482	4.1856	4.123	4.169
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	Czech Republic	CZE	11.2142	11.1656	11.117	11.044	10.971	10.898	10.825	10.752	10.996	11.24	11.484	11.728	11.972	11.9314
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	Canada	CAN	14.0642	13.8706	13.677	13.2404	12.8038	12.3672	11.9306	11.494	10.8726	10.2512	9.6298	9.0084	8.387	8.0346
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	Brazil	BRA	75.028	73.09	71.152	69.7322	68.3124	66.8926	65.4728	64.053	63.0646	62.0762	61.0878	60.0994	59.111	57.8858
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	Belgium	BEL	10.398	10.214	10.03	9.2298	8.4296	7.6294	6.8292	6.029	5.7534	5.4778	5.2022	4.9266	4.651	4.5704
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	Austria	AUT	12.0146	11.5708	11.127	10.5944	10.0618	9.5292	8.9966	8.464	8.2392	8.0144	7.7896	7.5648	7.34	7.0444
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	Spain	ESP	11.712	12.226	12.74	11.9864	11.2328	10.4792	9.7256	8.972	8.7226	8.4732	8.2238	7.9744	7.725	7.4904
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	Sweden	SWE	6.1636	6.0878	6.012	5.8922	5.7724	5.6526	5.5328	5.413	5.3456	5.2782	5.2108	5.1434	5.076	5.1226
"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	Switzerland	CHE	4.8362	4.6676	4.499	4.2998	4.1006	3.9014	3.7022	3.503	3.355	3.207	3.059	2.911	2.763	2.6438
Adults (ages 15+) living with HIV	SH.DYN.AIDS	United Kingdom	GBR	..	..	..	..	..	..	..	..	..	..	..	..	100000	..
Adults (ages 15+) living with HIV	SH.DYN.AIDS	United States	USA	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Adults (ages 15+) living with HIV	SH.DYN.AIDS	Russian Federation	RUS	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Adults (ages 15+) living with HIV	SH.DYN.AIDS	Netherlands	NLD	16000	17000	17000	18000	19000	20000	20000	21000	22000	22000	23000	23000	23000	..
Adults (ages 15+) living with HIV	SH.DYN.AIDS	Italy	ITA	88000	92000	96000	100000	100000	110000	110000	110000	120000	120000	120000	120000	130000	130000
Adults (ages 15+) living with HIV	SH.DYN.AIDS	Japan	JPN	12000	13000	15000	16000	18000	19000	21000	22000	24000	25000	27000	28000	29000	30000
Adults (ages 15+) living with HIV	SH.DYN.AIDS	Hungary	HUN	1200	1300	1500	1600	1800	2000	2300	2500	2700	2900	3100	3300	3500	3700
Adults (ages 15+) living with HIV	SH.DYN.AIDS	Germany	DEU	56000	59000	62000	65000	67000	69000	70000	73000	76000	78000	81000	83000	85000	87000
Adults (ages 15+) living with HIV	SH.DYN.AIDS	France	FRA	110000	120000	120000	130000	130000	140000	140000	150000	150000	160000	160000	170000	170000	180000
Adults (ages 15+) living with HIV	SH.DYN.AIDS	Finland	FIN	1900	2100	2300	2400	2600	2700	2900	3000	3200	3300	3400	3600	3800	3900
Adults (ages 15+) living with HIV	SH.DYN.AIDS	Denmark	DNK	4900	5000	5200	5300	5400	5500	5600	5700	5800	5900	6000	6100	6200	6200
Adults (ages 15+) living with HIV	SH.DYN.AIDS	Czech Republic	CZE	970	1100	1200	1400	1600	1800	2000	2200	2500	2800	3100	3500	3900	4400
Adults (ages 15+) living with HIV	SH.DYN.AIDS	Canada	CAN	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Adults (ages 15+) living with HIV	SH.DYN.AIDS	Brazil	BRA	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Adults (ages 15+) living with HIV	SH.DYN.AIDS	Belgium	BEL	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Adults (ages 15+) living with HIV	SH.DYN.AIDS	Austria	AUT	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Adults (ages 15+) living with HIV	SH.DYN.AIDS	Spain	ESP	120000	120000	120000	130000	130000	140000	140000	140000	140000	140000	140000	150000	150000	150000
Adults (ages 15+) living with HIV	SH.DYN.AIDS	Sweden	SWE	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Adults (ages 15+) living with HIV	SH.DYN.AIDS	Switzerland	CHE	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Age at first marriage, female"	SP.DYN.SMAM.FE	United Kingdom	GBR	..	..	..	..	31.8	32	27	..	..	..	..	..	..	..
"Age at first marriage, female"	SP.DYN.SMAM.FE	United States	USA	..	..	23.7	..	26.9	..	..	..	..	..	..	..	..	..
"Age at first marriage, female"	SP.DYN.SMAM.FE	Russian Federation	RUS	..	..	..	..	..	24.4	..	..	..	..	..	..	..	..
"Age at first marriage, female"	SP.DYN.SMAM.FE	Netherlands	NLD	30.5	30.7	31	31.2	31.3	31.4	26.2	..	..	..	..	..	..	..
"Age at first marriage, female"	SP.DYN.SMAM.FE	Italy	ITA	..	30	30.2	28.5	30.4	30.6	29.2	31	31.2	31.3	..	..	..	..
"Age at first marriage, female"	SP.DYN.SMAM.FE	Japan	JPN	29.4	..	..	..	..	29.7	..	..	..	..	..	..	..	..
"Age at first marriage, female"	SP.DYN.SMAM.FE	Hungary	HUN	28.8	29.3	29.7	30.2	30.7	31.1	28	31.8	..	..	..	..	..	..
"Age at first marriage, female"	SP.DYN.SMAM.FE	Germany	DEU	..	31	..	..	..	..	27.3	31.9	32	..	..	..	..	..
"Age at first marriage, female"	SP.DYN.SMAM.FE	France	FRA	31	..	..	22.7	31.6	..	25.6	32	..	..	..	..	..	..
"Age at first marriage, female"	SP.DYN.SMAM.FE	Finland	FIN	30.5	30.5	30.5	30.4	30.3	30.2	30.1	30.1	30.1	..	..	..	..	..
